Row,Title,Author,Year,Publisher,Collection
378,"The logistics and supply chain toolkit: over 100 tools for transport, warehousin",Gwynne Richards; Susan Grinsted,2020,Kogan Page,Logistics > SupplyChain
379,The handbook of logistics and distribution management,Alan Rushton; Phil Croucher; Peter Baker,2017,Kogan Page,Logistics > SupplyChain
381,"Supply Chain Risk Mitigation: Strategies, Methods and Applications",Yacob Khojasteh; Henry Xu; Saeed Zolfagh,2022,Springer,Logistics > SupplyChain
382,Supply chain redesign: transforming supply chains into integrated value systems,Robert B. Handfield; Ernest L. Nichols,2002,Financial Times Prentice Hall,Logistics > SupplyChain
383,Supply chain leadership: developing a people-centric approach to effective suppl,Peter W. Robertson,2022,Informa Law from Routledge,Logistics > SupplyChain
213,Railroaded : the transcontinentals and the making of modern America,Richard White; Internet Archive,2012,New York : W.W. Norton & Co.,Shipping
430,Rail Freight Solutions to Roadway Congestion--Final Report and Guidebook,Transportation Research Board; National ,2007,Transportation Research Board,Logistics > Rail
385,Principles of international logistics,Jose L. Tongzon,2022,Edward Elgar Publishing,Logistics > SupplyChain
223,Multimodal Transport Law: The Law Applicable to the Multimodal Contract for the ,Marian Hoeks,2010,Wolters Kluwer Law Internation,Shipping
390,Maritime logistics: contemporary issues,Dong-Wook Song; Photis M. Panayides,2012,Emerald Group Publishing Limit,Logistics > SupplyChain
391,Maritime logistics: a guide to contemporary shipping and port management,Dong-Wook Song,2015,Kogan Page,Logistics > SupplyChain
397,Logistics and supply chain innovation: bridging the gap between theory and pract,Henk Zijm; Matthias Klumpp; Uwe Clausen;,2016,Springer,Logistics > SupplyChain
398,Logistics 4.0 and Future of Supply Chains,İsmail İyigün; Ömer Faruk Görçün,2022,Springer,Logistics > SupplyChain
399,Logistics & supply chain management,Martin Christopher,2011,Financial Times Prentice Hall,Logistics > SupplyChain
254,Legal Handbook Shipmaster 2025,,2025,,Shipping
404,Innovations in supply chain management for information systems: novel approaches,John Wang,2010,Business Science Reference,Logistics > SupplyChain
433,Handbook of railway vehicle dynamics,Simon Iwnicki,2006,"CRC Press, Taylor & Francis Gr",Logistics > Rail
407,Handbook of Global Logistics: Transportation in International Supply Chains,James H. Bookbinder; Springer Science+Bu,2013,Springer,Logistics > SupplyChain
409,Global supply chain management and international logistics,Alan E. Branch,2009,Informa Law from Routledge,Logistics > SupplyChain
410,Global logistics: new directions in supply chain management,Edward Sweeney; C. D. J. Waters,2021,Kogan Page,Logistics > SupplyChain
411,Global Logistics and Supply Chain Strategies for the 2020s: Vital Skills for the,Rico Merkert; Kai Hoberg,2023,Springer,Logistics > SupplyChain
512,Guide for Cybersecurity Implementation for the Marine and Offshore Industries - ,,2025,,Logistics
412,Freight Transport Planning and Logistics,Lucio Bianco; Agostino La Bella,1988,Springer,Logistics > SupplyChain
53,Financial intelligence for supply chain managers: understand the link between op,Steven M. Leon,2016,Pearson Education,Transport Econometrics
524,Distribution planning and control: managing in the era of supply chain managemen,David Frederick Ross,2018,Springer,Logistics
413,Directory of Transportation 2024,Journal of Commerce,2024,Journal of Commerce,Logistics > SupplyChain
415,Containerization in maritime transport: contemporary trends and challenges,Ryszard Miler; Eugeniusz Gostomski; Toma,2023,"CRC Press, Taylor & Francis Gr",Logistics > SupplyChain
533,Advances in maritime logistics and supply chain systems,Ek Peng Chew; Loo Hay Lee; Loon Ching Ta,2011,World Scientific,Logistics
724,"Tugs, towboats and towing",Edward M. Brady,1979,Cornell Maritime Press,Cargo
486,The structural design of heavy duty pavements for ports and other industries. 3r,J. Knapton; M. Meletiou,1996,Interpave,Logistics
444,"The Shiphandler's guide for masters and navigating officers, pilots and tug mast",R. W. Rowe; Nautical Institute,2007,The Nautical Institute,Logistics > Ports
163,"The Law of the Sea - Nele Matz-Lück, Øystein Jensen and Elise Johansen [2023, PD",,2023,,Shipping
199,Shiphandling with tugs,George H. Reid,1986,Cornell Maritime Press,Shipping
447,Ship channel design and operation,Bruce L. MacCartney,2005,American Society of Civil Engi,Logistics > Ports
291,"Damages, recoveries and remedies in shipping law - Baris Soyer [2023, PDF] › Mar",,2023,,Shipping
451,"Ports and networks: strategies, operations and perspectives",H. Geerlings; Bartholdt Kuipers; Rob Zui,2018,Informa Law from Routledge,Logistics > Ports
454,Port-focal logistics and global supply chains,Koi Yu Adolf Ng; John J. Liu,2014,Palgrave Macmillan,Logistics > Ports
455,Port performance indicators,UNCTAD,2023,United Nations,Logistics > Ports
349,Port Management and Operations,Patrick M. Alderton,2013,Informa Law from Routledge,MissRiver
231,"Marpol Consolidated Edition 2022: Articles, Protocols, Annexes and unified inter",International Maritime Organization,2022,,Shipping
460,Oceanic and Atmospheric Fluid Dynamics,Stefano Pierini,2025,Springer,Logistics > Ports
462,Mission Port development with case studies,Walter Hedden,1967,The American Association of Po,Logistics > Ports
235,Maritime Security: DHS Progress and Challenges in Key Areas of Port Security: Co,Stephen L. Caldwell,2011,DIANE Publishing,Shipping
468,Handbook of Terminal Planning,Jürgen W. Böse,2011,Springer,Logistics > Ports
469,Handbook of Port and Harbor Engineering: Geotechnical and Structural Aspects,Gregory P. Tsinker,1997,Springer,Logistics > Ports
470,Fundamentals of port engineering,Koos Schoonees,2024,"CRC Press, Taylor & Francis Gr",Logistics > Ports
471,Facilities planning,James A. Tompkins,2010,J. Wiley,Logistics > Ports
474,Dutton’s Piloting & Navigating,"Dutton, Hill, Utegaard",1967,United States Naval Institute,Logistics > Ports
414,"Current issues in shipping, ports and logistics",Theo E. Notteboom,2011,University Press Antwerp,Logistics > SupplyChain
525,Cost planning of PFI and PPP building projects,Halim A. Boussabaine,2007,Informa Law from Routledge,Logistics
529,Buildings for Industrial Storage and Distribution,Jolyon Drury; Peter Falconer,2003,Elsevier,Logistics
375,A Mathematical Study of the Impact on Salinity Intrusion of Deepening the Lower ,Billy H. Johnson; Marden B. Boyd; Garbis,1987,"Hydraulics Laboratory, Departm",MissRiver
157,The shipping law review,Andrew Chamberlain; Holly Colaço; Richar,2023,Law Business Research Ltd,Shipping
160,The Oxford companion to ships & the sea,Peter Kemp,1976,Oxford University Press,Shipping
70,A REVIEW OF SPATIAL ECONOMETRICS IN EXPLICIT LOCATION MODELLING OF COMMERCIAL PR,Hamza Usman; Mohd Lizam; Burhaida Burhan,2021,,Transport Econometrics
164,The law of agency and partnership,William A. Gregory,2001,West,Shipping
165,The Law of Admiralty,Gilmore & Black,1975,The Foundation Press,Shipping
166,The international law of the sea,Yoshifumi Tanaka,2019,Cambridge University Press,Shipping
167,The International Comparative Legal Guide to:,A Karitzis; Advokatfirmaet Selmer As; An,2019,,Shipping
197,Shipping and commercial case law (2a. ed.),Albert Badia,2013,Marge Books,Shipping
200,Shipbrokers and the Law,Andrew Jamieson; Martin Stopford,2020,Informa Law from Routledge,Shipping
205,Ship agency: a guide to tramp ship agency practice,Marygrace Collins; Kenneth T. Schiels; P,2013,Witherby Publishing Group Ltd,Shipping
173,THE COST OF FORWARD CONTRACTING IN THE CIF NOLA EXPORT BID MARKET,Andrew M. Mckenzie; Bradley J. Isbell; B,2019,,Shipping
580,Roman law and maritime commerce,Peter Candy; Emilia Mataix Ferrándiz,2022,Edinburgh University Press,Historical; Shipping
545,Port agency,Malcolm Latarche; Institute of Chartered,1998,Witherby Publishing Group Ltd,KeyTexts; Shipping > Chartering
501,"New technologies, artificial intelligence and shipping law in the 21st century",Baris Soyer; Andrew Tettenborn,2019,Informa Law from Routledge,Logistics
224,Modern maritime law: Vol.2: Managing risks and liabilities,Alexandra Mandaraka-Sheppard,2013,Informa Law from Routledge,Shipping
225,Modern maritime law,Alexandra Mandaraka-Sheppard,2013,Informa Law from Routledge,Shipping
238,Maritime Law,Yvonne Baatz,2021,Informa Law from Routledge,Shipping
5,Benchmarking freight transportation corridors and routes with data envelopment a,Isotilia Costa Melo; Paulo Nocera Alves ,2018,,Transport Econometrics; Transport Econometrics > River_Econ
255,"Law of tug, tow, and pilotage",Alex L. Parks,1971,Cornell Maritime Press,Shipping
261,International trade law,Indira Carr; Peter Stone,2018,Informa Law from Routledge,Shipping
262,International maritime security law,James Kraska; Raul A. Pedrozo,2013,Martinus Nijhoff Publishers,Shipping
263,International maritime conventions,Francesco Berlingieri,2014,Informa Law from Routledge,Shipping
264,International law for seagoing officers,Craig H. Allen,2022,Naval Institute Press,Shipping
87,"Dictionary of Shipping, International Business Trade Terms & Abbreviations",Alan E. Branch,1995,Witherby Publishing Group Ltd,Shipping; KeyTexts
287,Dictionary of Shipping Law,ER Hardy Ivamy,1984,Butter Worth's,Shipping
296,"Contemporary maritime piracy: international law, strategy, and diplomacy at sea",James Kraska; Brian Wilson,2011,Praeger,Shipping
302,Commercial and Maritime Statutes,Peter MacDonald Eggers; Simon Picken,2013,Informa Law from Routledge,Shipping
303,"Codification of maritime law: challenges, possibilities and experience",Justyna Nawrot; Zuzanna Pepłowska-Dąbrow,2020,Informa Law from Routledge,Shipping
91,Black's law dictionary,Bryan A. Garner; Henry Campbell Black,2019,Thomson Reuters,Shipping; KeyTexts
95,Admiralty jurisdiction and practice,Nigel Meeson; John A. Kimbell,2011,Informa Law from Routledge,Shipping; KeyTexts
96,Admiralty and Maritime Law,Thomas J. Schoenbaum,2019,West Academic Publishing,Shipping; KeyTexts
645,"On the Stowage of Ships and Their Cargoes, Freights, Charter-parties, Etc",Robert White Stevens,1859,"Longmans, Green, and Company",Cargo > Stowage
477,Prioritizing Waterway Lock Projects: Barge Traffic Changes,CRS,2018,,Logistics > Barge
376,A History of the Jetties at the Mouth of the Mississippi River,Elmer Lawrence Corthell,1881,J. Wiley & Sons,MissRiver
373,Addresses and Papers of James B. Eads: Together with a Biographical Sketch,James Buchanan Eads,1884,"Slawson & Company, printers",MissRiver
445,Strategies to Increase Port Competitiveness,Mehdi Taghavi; Elnaz Irannezhad; Peggy S,2017,,Logistics > Ports
312,Carver: Carriage of Goods By Sea,Thomas Hilbert Carver,1891,Sweet & Maxwell,Shipping
644,"On the Stowage of Ships and Their Cargoes: With Information Regarding Freights, ",Robert White Stevens,1894,"Longmans, Green, and Company",Cargo > Stowage
339,Report of the Board of Commissioners of the Port of New Orleans,Louisiana Board of Commissioners of the ,1901,Board of Commissioners of the ,MissRiver
598,Lord Jim,Joseph Conrad,1901,Double Day & McClure,Historical; Shipping
258,Know Your Own Ship: A Simple Explanation,Walton,1909,Charles Griffen & Co Ltd,Shipping
374,A Traffic History of the Mississippi River System,Frank Haigh Dixon,1909,U.S. Government Printing Offic,MissRiver
616,A Handybook for Ship Owners and Masters,Holman,1911,Maisey,Historical; Shipping
324,"The Structures, Equipment and Advantages of the Port of New Orleans",George Henry Davis,1915,Press of Schumert & Warfield,MissRiver
131,Commodity Trading & Chartering Master Class,BIMCO,2017,,Shipping > Chartering
646,Notes on the Stowage of Ships,Chas. H. Hillcoat,1919,New York,Cargo > Stowage
449,Ports and Terminals,,2016,,Logistics > Ports
352,Port and Terminal Facilities,Louisiana Board of Commissioners of the ,1920,Board of Commissioners of the ,MissRiver
587,Paper Work in Export Trade (Document Technique),Guy Edward Snider; Warren M. Maule; Roy ,1920,U.S. Government Printing Offic,Historical; Shipping
216,Pacific Ports Manual,Frank Waterhouse Co,1920,Frank Waterhouse Co,Shipping
563,"Wharf Management, Stevedoring and Storage",Roy Samuel MacElwee; Thomas Rothwell Tay,1921,D Appleton & Co,Historical; Shipping
355,New Orleans: As the World's Greatest Port,John H. Bernhard,1921,New Orleans Association of Com,MissRiver
592,Merchant Vessels,Robert Riegel Phd,1921,D Appleton & Co,Historical; Shipping
439,Economics for Executives: Railroad transportation,George Evan Roberts,1921,"American chamber of economics,",Logistics > Rail
569,The Triumph of the Tramp Ship,Archibald Hurd,1922,"Cassell, Petter, Galpin & Comp",Historical; Shipping
327,The Inner Harbor Navigation Canal: Port of New Orleans. October 1922,Louisiana Board of Commissioners of the ,1922,Board of Commissioners of the ,MissRiver
353,"New Orleans: the Nation's Second Port: The South's Greatest City ... May 1, 1923",Louisiana Board of Commissioners of the ,1923,Board of Commissioners of the ,MissRiver
241,"Marine Insurance: Origins and Institutions, 1300-1850 - A.B. Leonard [2016, PDF]",,2016,,Shipping
450,"Ports and Terminal Facilities, by Roy S. MacElwee...",Roy Samuel MacElwee,1926,McGraw-Hill,Logistics > Ports
350,Port Handbook of New Orleans,Louisiana Board of Commissioners of the ,1926,Board of Commissioners of the ,MissRiver
188,Ships Routing 2015 Edition,IMO,2015,,Shipping
475,Dues and Port Charges on Shipping Throughout the World,Robert Ritherdon,1930,"Philip, Son & Nephew, Ltd., 20",Logistics > Ports
459,Port & Terminal Charges at US Ports,United States Shipping Board,1931,U.S. Government Printing Offic,Logistics > Ports
244,"Marine Dictionary, French, English, German, Spanish, Italian","Bataille, Brunet",1937,Societe d’editions geographiqu,Shipping
283,Entrance and Clearance of Vessels,United States Department of Commerce Bur,1938,"U.S. Department of Commerce, B",Shipping
606,"Documentation, Entrance and Clearance of Vessels: Regulations Issued Under Autho",USACE,1940,U.S. Government Printing Offic,Historical; Shipping
638,Stowage Handling and Transport of Ship Cargoes,Garoche,1941,Cornell Maritime Press,Cargo > Stowage
655,Handling and Stowage of Cargo,AG Ford,1941,International Textbook Co,Cargo > Stowage
326,The Port of New Orleans,Sinclair,1942,"Doubleday, Doran & Co",MissRiver
189,Ships Business,McFarland,1942,Cornell Maritime Press,Shipping
727,Cargo Loss & Damage,McFarland,1942,Cornell Maritime Press,Cargo
467,Harbour pilotage in the handling and mooring of Ships,RAB Ardley,1944,1944,Logistics > Ports
636,Stowage; The Properties and Stowage of Cargoes,Thomas,1947,"Brown, Son & Ferguson",Cargo > Stowage
135,Chartering & Charter Parties,Henry Cooley,1947,Cornell Maritime Press,Shipping > Chartering
601,International Maritime Dictionary,de Kerchove,1948,D. Van Nostrand Co,Historical; Shipping
140,American Law on Charter Parties and Bills of Lading,Wharton Poor,1948,Mathew Bender & Co,Shipping > Chartering
155,The United States Coast Guard 1790 to 1915 a definitive history,Stephen H Evans,1949,United States Naval Institute,Shipping
707,"Oil, Titan of the Southwest",Rister,1949,University of Oklahoma Press,Cargo > Oil&Gas
229,Merchant Marine Officers Handbook,Turpin; McEwen,1950,Cornell Maritime Press,Shipping
289,Dictionary of Commodities carried by Ship,Garoche,1952,Cornell Maritime Press,Shipping
190,Ships business,George J Bonwick and EC steer,1953,The Maritime press Ltd,Shipping
549,Chartering of Ships: Charter Parties and Bills of Lading,G.W. Stretch,1954,Bierne Associates,KeyTexts; Shipping > Chartering
218,Ocean Shipping,Stewart Bross,1956,Cornell Maritime Press,Shipping
578,Seaports South of the Sahara; The Achievements of an American Steamship Service,Albion,1959,Appleton,Historical; Shipping
71,State Pilotage in America,Lowe,1960,American Pilots Association,Shipping; Logistics > Ports
219,Norfolk historic Southport,wertenbaker,1962,Duke University press,Shipping
637,Stowage: The Properties of Cargo,Capt RE Thomas,1963,"Brown, Son & Ferguson",Cargo > Stowage
593,"Men along the shore, the ILA and its history",Mod Russell,1966,The international longshoreman,Historical; Shipping
612,American Practical Navigator; an epitome of navigation,Bowditch,1966,GPO,Historical; Shipping
304,"Coasting Captain, Journals of Capt Leonard S. Tawed",Robert Burgess,1967,The Mariners Museum,Shipping
158,The Port of Houston a history,Marilyn McAdams Sibley,1968,University of Texas press,Shipping
368,Bread Upon the Waters; A History of United States Grain Exports,Harry Fornari,1973,Auroa,MissRiver
307,Chesapeake Landfalls,Alexander Crosby Brown,1974,Norfolk County Historical Soci,Shipping
159,The Port of Brownsville a Maritime history of the Rio Grande Valley,Henry and Ferguson,1976,"Springman, King Press",Shipping
271,Have Served The National Cargo Bureau’s First Quarter Century,Mitchel,1977,National Cargo Bureau,Shipping
286,"Directory of Ports, Bulk Liquid Terminals, Grain Elevators, and Bulk Handling Fa","TTT Ship Agencies, Inc",1981,"TTT Ship Agencies, Inc.",Shipping
145,Wallenius Lines 1934-1984: glimpses from the history of Wallenius Lines on the [,,1984,Wallenius Lines,Shipping
72,"Ships, ports, and pilots: a history of the piloting profession",Roger Clancy,1984,McFarland,Shipping; Logistics > Ports
364,James W. Porch and the Port of New Orleans,John Wilds,1984,James Porch Schwartz,MissRiver
574,Texas,James A. Michener,1985,Secker & Warburg,Historical; Shipping
156,"The story of P & O, the Peninsular and Oriental Steam Navigation Company",David J. Howarth; Stephen Howarth; Penin,1986,Weidenfeld and Nicolson,Shipping
176,Texas forgotten ports,Keith Guthrie,1988,Eakin Press,Shipping
622,The U.S. Customs Service: a bicentennial history,Carl E. Prince; Mollie Keller,1989,"Department of the Treasury, U.",Customs
561,"Workers on the waterfront: seamen, longshoremen, and unionism in the 1930s",Bruce Nelson,1990,University of Illinois Press,Historical; Shipping
320,Where the river runs deep: the story of a Mississippi River pilot,Joy J. Jackson,1993,Louisiana State University Pre,MissRiver
144,"Wilh. Wilhelmsen, 1861-1994",B°ard Kolltveit; Michael Crowdy; Hans Ch,1994,World Ship Society,Shipping
615,"A history of Greek-owned shipping: the making of an international tramp fleet, 1",Gelina Harlaftis,1996,Informa Law from Routledge,Historical; Shipping
209,Sailing on Friday: the perilous voyage of America's merchant marine,John A. Butler,1997,Brassey's,Shipping
579,Seaports of the South: a journey,Louis D. Rubin; John F. Harrington,1998,Longstreet Press,Historical; Shipping
335,Rising Tide: The Great Mississippi Flood of 1927 and How It Changed America,John M. Barry,1998,Simon & Schuster,MissRiver
573,The Abandoned Ocean: a History of United States Maritime Policy,Andrew Gibson; Arthur Donovan,2000,University of South Carolina P,Historical; Shipping
168,The Houston Pilots silent servants of progress,Francys Trimble for the Houston Pilots,2004,Houston Pilots,Shipping
170,The forgotten heroes: the heroic story of the United States Merchant Marine,Brian Herbert,2004,Forge,Shipping
668,Making steel: Sparrows Point and the rise and ruin of American industrial might,Mark Reutter,2004,University of Illinois Press,Cargo > SteelMetals
613,Admiralty and maritime laws in the Mediterranean Sea (ca. 800-1050): the Kitāb A,Hassan Salih Khalilieh; Hassan Salih Kha,2006,Brill,Historical; Shipping
570,"The Southern Pacific, 1901-1985",Donovan L. Hofsommer,2009,Texas A & M Univ Pr,Historical; Shipping
589,New York longshoremen: class and power on the docks,William J. Mello,2010,University Press of Florida,Historical; Shipping
567,Tramp Ships: an illustrated history,Roy Fenton,2013,Seaforth,Historical; Shipping
577,Sheer will: the story of the Port of Houston and the Houston Ship Channel,David H. Falloure,2014,publisher not identified,Historical; Shipping
371,"Avondale: a model for success, the story of a great American shipyard, 1938-1999",René Pierre Meric; Philip J. Meric,2015,Philip J. Meric Consulting,MissRiver
370,Beyond control: the Mississippi River's new channel to the Gulf of Mexico,James F. Barnett,2017,University Press of Mississipp,MissRiver
329,"The Industrial Canal and Inner Harbor of New Orleans: History, Description and E",Thomas Ewing Dabney,2019,Good Press,MissRiver
323,They called us river rats: the last batture settlement of New Orleans,Macon Fry,2021,University Press of Mississipp,MissRiver
90,Commercial Management in Shipping,Don L. Dykstra,2005,Nautical Institute,Shipping; KeyTexts
441,Circuity of Rail Carload Freight,United States Interstate Commerce Commis,1968,U.S. Government Printing Offic,Logistics > Rail
319,Barge Operations on the Mississippi River: Hearing Before the Subcommittee on Me,United States Congress Senate Committee ,1974,U.S. Government Printing Offic,MissRiver; Transport Econometrics > River_Econ
137,"Carload Waybill Statistics: Territorial distribution, traffic, and revenue by co",,1975,U.S. Department of Transportat,Shipping > Chartering
118,Ship Chartering Alternatives for Grain-exporting Cooperatives,Donald Everett Hirsch,1981,U.S. Department of Agriculture,Shipping > Chartering
56,Economics of shipping practice and management,Alan E. Branch,1982,Chapman and Hall,Transport Econometrics
2,Quantitative methods in maritime economics. 2nd ed,J. J. Evans; P. B. Marlow,1990,Fairplay Publications,Transport Econometrics; Transport Econometrics > River_Econ
33,Running costs,John M. Downard,1994,Fairplay Publications,Transport Econometrics
41,Maritime Economics,Martin Stopford,1995,Informa Law from Routledge,Transport Econometrics
